User,FAR_percent,FRR_percent,EER_percent
1,0.246913580246914,2.22222222222222,1.23456790123457
2,0.246913580246914,6.66666666666667,3.45679012345679
3,9.62962962962963,0,4.81481481481481
4,0,2.22222222222222,1.11111111111111
5,0,6.66666666666667,3.33333333333333
6,0,2.22222222222222,1.11111111111111
7,0,0,0
8,0,8.88888888888889,4.44444444444444
9,0,6.66666666666667,3.33333333333333
10,6.66666666666667,0,3.33333333333333
